Scientific Name,Common Name,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Status,C,W
Allium cernuum,Nodding Onion,,,,,1,1,1,1,,5,3
Andropogon gerardii,Big Bluestem,,,,,,,1,1,,5,0
Anemone cylindrica,Tall Thimbleweed,,,,1,1,,,,,6,5
Antennaria parlinii,Parlin's Pussytoes,,1,,,,,,,,2,5
Arnoglossum plantagineum,Tuberous Indian Plantain,,,,,1,1,,,SC,10,0
Asclepias hirtella,Tall Green Milkweed,,,,,,1,1,,T,10,5
Asclepias syriaca,Common Milkweed,,,,,,,1,1,,1,5
Asclepias tuberosa,Butterfly Milkweed,,,,,1,1,1,,,5,5
Bouteloua curtipendula,Sideoats Gramma,,,,,1,1,,,E,10,5
Campanula rotundifolia,Harebell / Bluebell Bellflower,,,,1,1,1,1,,,6,3
Carex bicknellii,Bicknell's Sedge,,,,,1,1,,,,10,0
Cirsium discolor,Field Thistle,,,,,,,,,,4,5
Coreopsis lanceolata,Lanceleaf Coreopsis / Sand Coreopsis,,,,1,1,,,,,8,3
Coreopsis tripteris,Tall Coreopsis,,,,,,,,,,7,0
Desmodium canadense,Showy Tick Trefoil,,,,,,,,,,3,0
Eragrostis spectabilis,Purple Lovegrass,,,,,1,1,1,,,3,5
Euphorbia corollata,Flowering Spurge,,,,,,1,1,,,4,5
Helianthus divaricatus,Woodland Sunflower,,,,,,,,,,5,5
Heliopsis helianthoides,False Sunflower,,,,,,,1,1,,5,3
Heuchera richardsonii,Richard's Prairie Alumroot,,,,1,1,1,,,,8,3
Koeleria macrantha,June Grass,,,,1,1,,,,,9,5
Lespedeza capitata,Round-headed Bush Clover,,,,,,1,1,1,,5,3
Liatris aspera,Rough Blazing Star,,,,,,1,1,1,,4,5
Liatris cylindracea,Dwarf Blazing Star,,,,,,1,1,1,,5,5
Liatris spicata,Marsh Blazing Star,,,,,1,1,1,,,8,0
Monarda fistulosa,Wild Bergamot / Bee Balm,,,,,1,1,1,,,2,3
Monarda punctata,Horsemint,,,,,,1,1,1,,4,5
Oenothera biennis,Evening Primrose,,,,,1,1,1,1,,2,3
Panicum virgatum,Switchgrass,,,,,1,1,1,1,,4,0
Penstemon digitalis,Foxglove Beardtongue,,,,,1,1,1,,,2,0
Phlox pilosa,Prairie Phlox,,,,,,1,1,,,7,3
Ratibida pinnata,Yellow Coneflower,,,,,,1,1,1,,4,5
Rudbeckia hirta,Black-Eyed Susan,,,,,,1,1,,,1,3
Ruellia humilis,Hairy Wild Petunia,,,,,,,,1,T,8,3
Schizachyrium scoparium,Little Bluestem,,,,,,1,1,1,,5,3
Silphium integrifolium,Rosinweed,,,,,,1,1,,T,10,0
Silphium laciniatum,Compass Plant,,,,,1,1,,,T,9,5
Silphium terebinthinaceum,Prairie Dock,,,,,1,1,1,,,6,0
Sisyrinchium albidum,Blue Eyed Grass,,,,1,1,,,,,7,3
Solidago juncea,Early Goldenrod,,,,,,,1,,,3,5
Solidago nemoralis,Old Field / Gray Goldenrod,,,,,,,1,,,2,5
Solidago ridgida,Stiff Goldenrod,,,,,,,1,1,,5,3
Solidago speciosa,Showy Goldenrod sp.,,,,,,,1,1,,5,5
Sorghastrum nutans,Indian Grass,,,,,,1,1,1,,6,3
Sporobolus heterolepis,Prairie Dropseed,,,,,1,1,1,1,SC,10,3
Symphyotrichum ericoides,Heath Aster,,,,,,1,1,1,,3,3
Symphyotrichum laeve,Smooth Aster,,,,,,1,1,,,5,3
Symphyotrichum novae-angliae,New England Aster,,,,,,1,1,1,,3,-3
Symphyotrichum oolentangiense,Sky Blue Aster,,,,,,,1,1,,4,5
Symphyotrichum pilosum,Frost Aster,,,,,,,1,1,,1,3
Tradescantia ohiensis,Ohio Spiderwort,,,,1,1,,,,,5,3
Triosteum aurantiacum,Horse-Gentian,,,,,,,1,,,5,5
Triosteum perfoliatum,Horse-Gentian,,,,,1,1,,,,5,5
Verbena stricta,Hoary Vervain,,,,,,1,1,,,*,5
Vernonia missurica,Ironweed,,,,,,1,1,1,,4,0
Veronicastrum virginicum,Culver's Root,,,,,,1,1,1,,8,0
Zizia aurea,Golden Alexanders,,,,1,1,1,1,,,6,0
