Scientific Name,Common Name,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Status,C,W
Ageratina altissima,Snakeroot,,,,,,,1,1,,4,3
Anemone virginiana,Thimbleweed,,,,,,,1,,,3,3
Asarum canadense,Wild Ginger,,,1,1,,,,,,5,5
Asclepias incarnata,Swamp Milkweed,,,,,1,1,1,1,,6,-5
Bromus ciliatus,Fringed Brome,,,,,,1,1,1,,6,-3
Bromus latiglumis,Earlyleaf Brome,,,,,,1,,,,6,-3
Caltha palustris,Yellow Marsh Marigold,,,1,1,,,,,,6,-5
Elymus canadensis,Wild Rye,,,,,,,,,,5,3
Elymus hystrix / Hystrix patula,Bottlebrush Grass,,,,,1,1,,,,5,3
Elymus virginicus,Virginia Wild Rye,,,,,,,1,1,,4,-3
Eupatorium maculatum,Joe Pye Weed,,,,,,1,,,,4,-5
Eupatorium purpureum,Sweet Joe Pye Weed,,,,,,,,,,5,0
Glyceria striata,Fowl Manna Grass,,,,,,1,,,,4,-5
Helenium autumnale,Sneezeweed,,,,,,,1,,,5,-3
Helianthus giganteus,Giant Sunflower,,,,,,,1,1,,5,-3
Heliopsis helianthoides,False Sunflower,,,,,,,1,1,,5,3
Heracleum maximum,Cow Parsnip,,,,1,1,1,1,1,,3,-3
Lobelia siphilitica,Giant Blue Lobelia,,,,,,1,1,1,,4,-3
Physostegia virginiana,Obedient Plant,,,,,1,1,1,,,8,-3
Rudbeckia laciniata,Cutleaf Coneflower,,,,,,,,,,6,-3
Senna hebecarpa,Wild Senna,,,,,,,1,1,,5,-3
Thalictrum dasycarpum,Purple Meadow Rue,,,,1,1,1,1,,,3,-3
Zizia aurea,Golden Alexanders,,,,1,1,1,1,,,6,0
