Scientific Name,Common Name,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Status,C,W
Arnoglossum plantagineum,Tuberous Indian Plantain,,,,,1,1,,,SC,10,0
Asclepias incarnata,Swamp Milkweed,,,,,1,1,1,1,,6,-5
Asclepias purpurascens,Purple Stem Milkweed,,,,,1,1,,,T,9,3
Bromus ciliatus,Fringed Brome,,,,,,1,1,1,,6,-3
Calamagrostis canadensis,Blue Joint Grass,,,,1,1,,,,,3,-5
Carex stricta,Tussock Sedge,,,1,,,,,,,4,-5
Carex vulpinoidea,Fox Sedge,,,,,1,,,,,1,-5
Chelone glabra,White Turtlehead,,,,,,,,1,,7,-5
Cirsium muticum,Swamp Thistle,,,,,,,,,,6,-5
Eupatorium maculatum,Joe Pye Weed,,,,,,1,,,,4,-5
Eupatorium perfoliatum,Boneset,,,,,,,,,,4,-3
Glyceria striata,Fowl Manna Grass,,,,,,1,,,,4,-5
Helenium autumnale,Sneezeweed,,,,,,,1,,,5,-3
Helianthus giganteus,Giant Sunflower,,,,,,,1,1,,5,-3
Heliopsis helianthoides,False Sunflower,,,,,,,1,1,,5,3
Liatris spicata,Marsh Blazing Star,,,,,1,1,1,,,8,0
Lobelia siphilitica,Giant Blue Lobelia,,,,,,1,1,1,,4,-3
Pedicularis lanceolata,Marsh Betony,,,,,,,1,,,8,-3
Physostegia virginiana,Obedient Plant,,,,,1,1,1,,,8,-3
Pycnanthemum virginianum,Mountain Mint,,,,,,1,1,1,,5,-3
Rudbeckia laciniata,Cutleaf Coneflower,,,,,,,,,,6,-3
Rumex orbiculatus,Greater Water Dock,,,,,,1,,,,9,-5
Senna hebecarpa,Wild Senna,,,,,,,1,1,,5,-3
Solidago ohioensis,Ohio Goldenrod,,,,,,,1,1,,8,-5
Solidago patula,Rough Leaved / Swamp Goldenrod,,,,,,,,1,,6,-5
Solidago riddelli,Riddell's Goldenrod,,,,,,1,1,1,,6,-5
Symphyotrichum novae-angliae,New England Aster,,,,,,1,1,1,,3,-3
Thalictrum dasycarpum,Purple Meadow Rue,,,,1,1,1,1,,,3,-3
Verbena hastata,Blue Vervain,,,,,1,1,1,1,,4,-3
Zizia aurea,Golden Alexanders,,,,1,1,1,1,,,6,0
