Scientific Name,Common Name,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Status,C,W
Actaea pachypoda,White Baneberry / Doll's Eyes,,,,1,1,1,,,,7,5
Actaea rubra,Red Baneberry,,,1,1,,,,,,7,3
Ageratina altissima,Snakeroot,,,,,,,1,1,,4,3
Allium cernuum,Nodding Onion,,,,,1,1,1,1,,5,3
Anemone canadensis,Canada Anemone,,,,,,,1,1,,4,-3
Aralia nudicaulis,Sarsaparilla,,,,1,,,,,,5,3
Arisaema triphyllum,Jack in the Pulpit,,,,,1,1,,,,5,0
Asarum canadense,Wild Ginger,,,1,1,,,,,,5,5
Asclepias purpurascens,Purple Stem Milkweed,,,,,1,1,,,T,9,3
Asclepias verticillata,Whorled Milkweed,,,,,,,1,,,1,5
Bromus pubescens,Hairy Woodland Brome,,,,1,,,,,,5,3
Cardamine douglassii,Limestone Bittercress,,,,1,1,,,,,6,-3
Carex eburnea,Ivory Sedge,,,1,1,1,1,,,,7,3
Carex grayi,Gray's Sedge,,,,1,1,1,1,1,,6,-3
Carex pensylvanica,Pennsylvania Sedge,,1,,,,,,,,4,5
Carex sprengelii,Long-beaked Sedge / Sprengel's Sedge,,,,,,,,,,5,0
Carex tenera,Quill Sedge,1,1,1,,,,,,,4,0
Claytonia virginica,Spring Beauty,,,,,,,,,,4,3
Clematis virginiana,Virgin's Bower,,,,,,,,,,4,0
Dicentra cucullaria,Dutchman's Breeches,,,1,,,,,,,7,5
Echinocystis lobata,Wild Cucumber,,,,,,,,,,2,-3
Elymus hystrix / Hystrix patula,Bottlebrush Grass,,,,,1,1,,,,5,3
Elymus virginicus,Virginia Wild Rye,,,,,,,1,1,,4,-3
Eryngium yuccifolium,Rattlesnake Master,,,,,,,,,T,10,0
Eupatorium maculatum,Joe Pye Weed,,,,,,1,,,,4,-5
Eupatorium perfoliatum,Boneset,,,,,,,,,,4,-3
Eupatorium purpureum,Sweet Joe Pye Weed,,,,,,,,,,5,0
Euphorbia corollata,Flowering Spurge,,,,,,1,1,,,4,5
Eurybia macrophylla,Big-Leaved Aster,,,,,,1,1,,,4,5
Geranium maculatum,Wild Geranium,,,1,1,1,,,,,4,3
Hepatica acutiloba,Sharp Lobed Hepatica,,,,,,,,,,8,5
Hepatica americana,Round-lobed Hepatica,,1,1,,,,,,,6,5
Heracleum maximum,Cow Parsnip,,,,1,1,1,1,1,,3,-3
Heuchera americana,Heuchera,,,1,1,1,1,,,,8,3
Heuchera richardsonii,Richard's Prairie Alumroot,,,,1,1,1,,,,8,3
Jeffersonia diphylla,Twinleaf,,,1,,,,,,SC,9,3
Lobelia cardinalis,Cardinal Flower,,,,,,,1,,,7,-5
Lobelia siphilitica,Giant Blue Lobelia,,,,,,1,1,1,,4,-3
Maianthemum racemosum,False Solomon's Seal,,,,1,1,1,,,,5,3
Monarda punctata,Horsemint,,,,,,1,1,1,,4,5
Penstemon digitalis,Foxglove Beardtongue,,,,,1,1,1,,,2,0
Penstemon hirsutus,Hairy Beardstongue,,,1,1,1,1,1,,,5,5
Phlox divaricata,Wild Blue Phlox,,,,,,,,,,5,3
Phlox pilosa,Prairie Phlox,,,,,,1,1,,,7,3
Podophyllum peltatum,Mayapple,,,1,1,,,,,,3,3
Polygonatum biflorum,Solomon's Seal,,,,,,1,,,,4,3
Sanguinaria canadensis,Bloodroot,,1,1,,,,,,,5,3
Scrophularia,Figwort,,,,,,,,1,,5,3
Solidago caesia,Bluestem Goldenrod,,,,,,1,1,1,,6,3
Solidago flexicaulis,Zigzag Goldenrod,,,,,,1,1,1,,6,3
Symphyotrichum shortii,Short's Aster,,,,,,,1,1,,5,5
Thalictrum dioicum,Early Meadow Rue,,1,1,,,,,,,6,3
Thalictrum thalictroides,Rue Anenome,,,1,,,,,,,8,3
Tradescantia ohiensis,Ohio Spiderwort,,,,1,1,,,,,5,3
Trillium erectum,Red Trillium,,,,1,1,,,,,7,3
Trillium flexipes,Nodding White Trillium,,,,1,1,,,,,7,0
Triosteum perfoliatum,Horse-Gentian,,,,,1,1,,,,5,5
Uvularia grandiflora,Bellwort,,,,1,1,1,,,,5,5
Veronicastrum virginicum,Culver's Root,,,,,,1,1,1,,8,0
Zizia aurea,Golden Alexanders,,,,1,1,1,1,,,6,0
